DEPARTMENT_ID,DEPARTMENT_NAME,DEPARTMENT_ORGANIZATION
1,Human Resources (HR),1
2,Finance,1
3,Marketing,2
4,Sales,2
5,Information Technology (IT),1
6,Research and Development (R&D),2
7,Customer Support,6
8,Operations,6
9,Legal,6
10,Product Development,7
11,Procurement,7
12,Logistics,7
13,Public Relations (PR),11
14,Quality Assurance (QA),11
15,Engineering,11
16,Business Development,12
17,Compliance,12
18,Supply Chain Management,12
19,Corporate Strategy,16
20,Internal Audit,16
21,Data Science,16
22,Security,17
23,Facilities Management,17
24,Content Creation,17
25,Training and Development,21
26,Investor Relations,21
27,Corporate Social Responsibility (CSR),21
28,Creative Design,22
29,Executive Management,22
30,Enterprise Risk Management (ERM),22