ORGANIZATION_ID,ORGANIZATION_NAME,ORGANIZATION_COMPANY
1,AlphaTech,1
2,Beta Solutions,1
3,Gamma Innovations,1
4,Delta Logistics,1
5,Epsilon Financial,1
6,Zeta Healthcare,2
7,Eta Communications,2
8,Theta Energy,2
9,Iota Retail,2
10,Kappa Construction,2
11,Lambda Foods,3
12,Mu Entertainment,3
13,Nu Pharmaceuticals,3
14,Xi Aerospace,3
15,Omicron Automobiles,3
16,Pi Technology,4
17,Rho Consulting,4
18,Sigma Electronics,4
19,Tau Education,4
20,Upsilon Media,4
21,Phi Banking,5
22,Chi Manufacturing,5
23,Psi Research,5
24,Omega Fashion,5
25,Epsilon Dynamics,5